reaction,baseline_flux
rxn01355,0.0
rxn05357,0.0
rxn00225,-10000.0
rxn05313,8349.273615590644
rxn01674,0.0
rxn05572,0.0
rxn01199,0.0
rxn10215,22.784764708651327
rxn01451,0.0
rxn00785,7.935359391647353
rxn05092,0.0
rxn00802,-9999.999999999965
rxn03638,0.0
rxn10318,0.08743551615502307
rxn05323,0.0
rxn03084,0.0
rxn05722,-226.02934318042674
rxn10195,2.2275683658306225
rxn03887,0.0
rxn00868,57.167923529348904
rxn00011,0.0
rxn02222,0.0
rxn00292,-407.1631249962752
rxn05147,0.0
rxn01675,0.0
rxn05252,0.0
rxn05691,0.0
rxn00016,0.0
rxn05676,10000.0
rxn05466,-10000.0
rxn05398,71.65981643005067
rxn00196,0.0
rxn08707,0.0
rxn05173,0.0
rxn01367,0.0
rxn05536,0.0
rxn05155,0.0
rxn10252,0.378768861667709
rxn04092,0.0
rxn00708,0.0
rxn01513,28.156937512951853
rxn02476,0.0
rxn02112,0.0
rxn09012,0.0
rxn05333,0.0
rxn01870,0.0
rxn05626,0.0
rxn01387,0.0
rxn01575,0.0
rxn01945,0.0
rxn09206,1.6971237423848002
rxn02342,0.0
rxn01737,-313.4839018075124
rxn00781,10000.0
rxn01133,0.0
rxn00973,0.0
rxn05544,0.0
rxn05630,-4041.814261556935
rxn05391,0.0
rxn03061,0.0
rxn02916,0.0
rxn05549,0.0
rxn05181,0.0
rxn05330,0.0
rxn01985,0.0
rxn03910,1.289160358421343
rxn02522,0.0
rxn00775,0.0
rxn00364,10000.0
rxn05483,0.0
rxn05616,116.49772733127752
rxn01444,21.395052326179044
rxn00816,0.0
rxn01259,0.0
rxn00515,0.0
rxn10243,0.0
rxn02011,124.88718684669207
rxn00702,0.0
rxn05577,-1541.9349601715014
rxn08471,0.0
rxn00369,-77.08364664332412
rxn05699,0.0
rxn02212,0.0
rxn05408,15.33639139412428
rxn10227,11.793888562167501
rxn05486,-3188.072917048345
rxn00917,0.0
rxn05502,-10000.0
rxn09113,0.8624024012720914
rxn02160,0.0
rxn02339,0.0
rxn10295,1.1199895252332817
rxn04821,0.0
rxn10304,0.1626098739950194
rxn02495,0.0
rxn01044,0.0
rxn05557,0.0
rxn00883,0.0
rxn01923,0.0
rxn01218,0.0
rxn00248,-2635.165360893981
rxn01297,10000.0
rxn05239,0.0
rxn05734,0.0
rxn01302,-10000.0
rxn10283,2.8150198991252724
rxn00373,0.0
rxn05422,15.336391394124284
rxn00979,0.0
rxn10322,0.46203633162722746
rxn05448,0.0
rxn00048,0.0
rxn10233,11.7938885621675
rxn07584,0.0
rxn05201,-10000.0
rxn05217,-10000.0
rxn03164,124.88718684669207
rxn00546,0.0
rxn05298,0.0
rxn03906,0.0
rxn00879,0.0
rxn01370,0.0
rxn02789,0.0
rxn05194,0.0
rxn03483,0.0
rxn05383,71.65981643005065
rxn01258,0.1841657654887633
rxn00830,0.18416576548876332
rxn05229,0.0
rxn05646,10000.0
rxn00321,0.0
rxn10042,10000.0
rxn05505,0.0
rxn09104,2.534508521088807
rxn00800,0.0
rxn01343,-7.935359391647353
rxn01520,4556.9488579456665
rxn05415,15.336391394124286
rxn00189,0.0
rxn10011,41.83153213522344
rxn10286,7.464578229556197
rxn05441,0.0
rxn00322,0.0
rxn10342,0.02598954365403155
rxn01819,0.0
rxn10201,93.45395057185023
rxn05426,15.336391394124282
rxn08297,-3.7953705314140964
rxn00902,0.0
rxn08764,0.0
rxn03852,9.726313359715885
rxn00503,-434.9432443759157
rxn10266,4.374672880218881
rxn03909,1.2891603584213427
rxn09264,0.0
rxn05187,0.0
rxn04745,0.0
rxn05328,0.0
rxn02314,-10000.00000000008
rxn00179,0.0
rxn10230,23.11116197641856
rxn02853,0.0
rxn05529,0.0
rxn05566,10000.0
rxn05307,9999.999999999902
rxn03991,-4999.999999999999
rxn05654,-10000.0
rxn02056,0.0
rxn01465,0.0
rxn05364,134.15538894070474
rxn05372,134.15538894070477
rxn05553,1774.040850411467
rxn05470,-10000.0
rxn00863,0.0
rxn09399,0.0
rxn00215,0.0
rxn10279,1.279672421496391
rxn09978,0.0
rxn00223,10000.0
rxn00405,0.0
rxn00459,10000.0
rxn10277,5.386162368838246
rxn02949,0.0
rxn10259,1.861135425638397
rxn10225,4.3661872615069575
rxn05031,0.0
rxn10217,26.13621028405902
rxn01800,0.0
rxn01011,2467.7020714343894
rxn09449,0.0
rxn02167,57.167923529348904
rxn00929,0.0
rxn05316,0.0
rxn08311,3.1828639939711323
rxn05419,15.336391394124286
rxn10288,1.766380596074587
rxn01504,71.65981643005067
rxn03975,0.0
rxn03436,0.0
rxn00423,0.0
rxn00818,-9686.516098192493
rxn05430,12.26513571516309
rxn03071,0.0
rxn01492,10000.000000000013
rxn10272,0.6585737278378514
rxn01101,10000.0
rxn04036,0.0
rxn00615,0.0
rxn05474,2467.70207143439
rxn03248,41.83153213522344
rxn08307,2.3222559085500203
rxn10193,2.227568365830622
rxn05621,0.0
rxn05315,0.0
rxn05518,0.0
rxn05341,0.0
rxn05145,-10000.0
rxn05477,0.0
rxn05727,0.0
rxn02201,0.0
rxn05717,-9999.999999999998
rxn10326,0.06480096932652095
rxn05412,0.0
rxn03690,0.0
rxn02988,0.0
rxn07307,0.0
rxn05460,8.999507033486353
rxn10281,0.9165066314161583
rxn00290,-2352.0050387441847
rxn10199,124.88718684669205
rxn05555,0.0
rxn05402,71.65981643005067
rxn03241,41.83153213522347
rxn00742,7287.524898520591
rxn10316,0.2407747582533149
rxn02159,0.0
rxn01706,0.0
rxn11397,-9999.999999999989
rxn09200,6.847370958399466
rxn02937,0.0
rxn01573,0.0
rxn10241,0.0
rxn10067,0.0
rxn05507,-10000.0
rxn00727,0.0
rxn03891,0.18416576548876332
rxn00212,0.0
rxn00649,0.0
rxn05603,0.0
rxn06076,21.36947545549792
rxn05413,15.336391394124284
rxn01763,-10000.000000000002
rxn02417,0.0
rxn05579,-10000.000000000002
rxn05348,0.0
rxn10299,0.01944215987696772
rxn02914,-10000.0
rxn01300,0.0
rxn00175,0.0
rxn01446,21.395052326463695
rxn04068,0.0
rxn05023,0.1841657654887633
rxn10247,0.6044601522987274
rxn05648,313.48390180751244
rxn05370,134.15538894070477
rxn10013,41.831532135223455
rxn05346,0.0
rxn05296,649.7508879232324
rxn05634,-7153.369509579888
rxn00950,0.0
rxn10264,1.1794075470068646
rxn10208,26.13621028405902
rxn09661,0.0
rxn05445,15.336391394124282
rxn10324,0.11203259594553404
rxn00418,0.0
rxn00621,576.0670328465162
rxn00558,0.0
rxn00671,0.0
rxn01406,0.0
rxn00715,0.0
rxn10340,0.11139710908164546
rxn00375,0.0
rxn00512,-10000.0
rxn01647,0.0
rxn05335,0.0
rxn01146,0.0
rxn00875,-10000.0
rxn00152,1.8434399184475667e-10
rxn10333,0.1237330305571297
rxn00143,-9999.81583423451
rxn05198,0.0
rxn00324,-10000.0
rxn00187,0.0
rxn05305,-399.90717779273956
rxn04133,0.0
rxn02875,0.0
rxn00881,0.0
rxn05247,0.0
rxn00737,0.0
rxn01200,7.935359391647352
rxn00501,0.0
rxn10044,0.0
rxn03841,0.0
rxn07845,0.0
rxn04454,0.0
rxn00193,124.88718684670813
rxn05561,-10000.000000000031
rxn05369,134.15538894070477
rxn05594,0.0
rxn01834,0.0
rxn02504,0.0
rxn01748,0.0
rxn00160,0.0
rxn05493,10000.0
rxn03481,-9999.999999999965
rxn01747,0.0
rxn01634,0.0
rxn01103,0.0
rxn09065,0.0
rxn05223,0.0
rxn01073,0.0
rxn05215,-9123.573449495714
rxn10293,1.040740575148353
rxn05641,0.0
rxn05534,0.0
rxn05732,35.35400705529109
rxn05381,45.56952941730265
rxn05446,15.336391394124282
rxn00912,0.0
rxn10330,0.030989330009625535
rxn00604,10000.0
rxn10062,10000.0
rxn05618,0.0
rxn05469,0.0
rxn05386,71.65981643005067
rxn05674,0.0
rxn05435,0.0
rxn05958,0.0
rxn01358,0.0
rxn00692,-4845.943270016334
rxn01678,0.0
rxn05559,-1648.899332327264
rxn03424,0.0
rxn03068,0.0
rxn01332,0.0
rxn12519,0.0
rxn00566,7217.313871387874
rxn05601,0.0
rxn07431,0.0
rxn08299,-1.3168895227721247
rxn05428,0.0
rxn00992,0.0
rxn10057,0.0
rxn05513,0.0
rxn01457,10000.0
rxn05361,134.1553889407047
rxn09208,6.847370958399467
rxn05567,-10000.00000000008
rxn00002,0.0
rxn10197,3.9974927357108943
rxn09988,0.0
rxn00467,9762.646000641536
rxn10060,0.0
rxn11399,0.0
rxn05629,9686.516098192493
rxn10261,0.2857447992684892
rxn05456,12.26513571516309
rxn04834,0.0
rxn10329,0.46119524607208084
rxn10232,5.01754260620264
rxn05149,0.0
rxn00206,0.0
rxn00300,0.0
rxn02186,0.0
rxn02288,0.0
rxn00907,9999.999999999998
rxn10297,0.2714912027272706
rxn05619,0.0
rxn05410,15.336391394124284
rxn00509,10000.0
rxn00205,10000.0
rxn06673,1191.979551852283
rxn00278,-10000.0
rxn00790,0.0
rxn02933,-134.15538894070468
rxn00100,0.49275685855561524
rxn05574,10000.0
rxn05569,320.1972375686394
rxn01018,0.0
rxn05656,0.0
rxn05204,0.0
rxn00060,0.0
rxn00806,0.0
rxn00006,4748.791539452422
rxn09202,2.3204615926990413
rxn02834,0.0
rxn05622,0.0
rxn03239,-35.3540070552911
rxn05570,0.0
rxn05334,0.0
rxn01053,10000.0
rxn05394,71.65981643005067
rxn01704,0.0
rxn02341,0.49275685855561524
rxn03175,0.0
rxn05716,0.0
rxn00199,0.0
rxn05661,10000.0
rxn05216,-10000.0
rxn02473,0.0
rxn05498,0.0
rxn00834,0.0
rxn10292,0.4427848178094264
rxn05500,-10000.0
rxn01518,-6820.0011623128685
rxn05649,0.0
rxn00926,0.0
rxn10219,6.132567857581544
rxn05207,7364.8346391060195
rxn00786,0.0
rxn03080,0.0
rxn05150,0.0
rxn01285,0.0
rxn01761,10000.0
rxn05199,0.0
bio00006,1229.6572443664504
rxn02297,0.0
rxn00607,7756.550657013843
rxn10320,0.4295143568282237
rxn05354,0.0
rxn01637,0.0
rxn01639,0.0
rxn05040,0.0
rxn01204,10000.0
rxn00379,0.0
rxn05760,0.0
rxn00105,0.0
rxn11407,0.0
rxn05495,0.0
rxn00350,0.0
rxn05378,134.15538894070477
rxn05326,0.0
rxn10300,0.030865970794870693
rxn09562,0.0
rxn05612,313.48390180749476
rxn00689,0.0
rxn05164,0.0
rxn05671,0.0
rxn00799,10000.0
rxn00313,0.0
rxn04132,0.0
rxn01122,10000.000000000005
rxn09944,0.0
rxn02791,0.0
rxn10206,22.784764708651327
rxn05376,134.15538894070477
rxn05342,0.0
rxn05455,3.071255678961195
rxn01972,124.88718684669206
rxn11402,0.0
rxn06510,41.83153213522346
rxn05550,0.0
rxn10278,9.126114707563232
rxn02866,71.65981643005067
rxn01489,0.0
rxn05344,0.0
rxn05511,0.0
rxn05387,71.65981643005065
rxn00676,134.1553889407025
rxn01281,0.0
rxn05733,0.0
rxn05350,0.0
rxn10339,0.0
rxn10226,5.01754260620264
rxn05476,0.0
rxn07430,0.0
rxn03246,-41.83153213522343
rxn10237,3.1867797145000933
rxn10255,-0.4383289334461606
rxn02166,0.0
rxn05679,7825.985590249715
rxn00704,-1.4540777067399895e-12
rxn00837,0.0
rxn00183,0.0
rxn05248,0.0
rxn02287,0.0
rxn00634,313.48390180751244
rxn04750,0.0
rxn10223,18.67163205450282
rxn03242,-41.831532135223455
rxn00710,0.0
rxn05532,9999.448350675188
rxn02762,0.0
rxn05539,0.0
rxn05437,0.0
rxn01555,0.0
rxn10210,6.132567857581544
rxn05482,0.0
rxn00256,0.0
rxn02503,0.0
rxn05748,-9.441500302853173e-11
rxn05349,0.0
rxn05064,0.0
rxn05463,8.999507033486514
rxn10240,0.0
rxn10280,3.795370531414097
rxn03094,0.0
rxn00285,-10000.0
rxn00547,-10000.0
rxn10275,4.811607480722509
rxn05597,0.0
rxn10046,0.0
rxn05374,0.0
rxn01989,0.0
rxn05506,10000.0
rxn04143,0.0
rxn01484,-10000.0
rxn00250,5294.052810192092
rxn10307,0.07595937102479987
rxn00545,-10000.000000000013
rxn01642,0.0
rxn01334,-7.935359391647351
rxn01847,0.0
rxn10308,0.017401125596478512
rxn05249,0.0
rxn01649,0.0
rxn05266,0.18416576548876326
rxn00203,0.0
rxn03409,0.0
rxn05192,0.0
rxn05724,0.0
rxn05184,0.0
rxn05672,-3.992465327098492e-11
rxn03931,0.0
rxn05200,-9931.11265550814
rxn00770,23.990243940427952
rxn01301,10000.000000000055
rxn00192,0.0
rxn05396,71.65981643005065
rxn10334,0.055857426256794886
rxn00910,7287.340732755037
rxn03407,0.0
rxn02286,124.88718684669206
rxn05363,134.1553889407047
rxn02474,0.0
rxn01682,0.0
rxn05324,0.0
rxn05714,0.0
rxn00611,10000.0
rxn00211,0.0
rxn00182,-10000.0
rxn02832,0.18416576548876332
rxn01292,-10000.000000000002
rxn05563,-2.156621356958544e-12
rxn00289,0.0
rxn10250,1.5980625547786391
rxn02727,0.0
rxn10302,0.1515075446670836
rxn03393,0.0
rxn10311,0.1357325178105553
rxn05388,71.65981643005065
rxn01486,0.1841657654887633
rxn05464,0.0
rxn04783,0.0
rxn07099,0.0
rxn02085,0.0
rxn05554,4174.636807795326
rxn05429,12.265135715163089
rxn05359,134.15538894070468
rxn01739,0.0
rxn10203,3.238762539966179
rxn00062,0.0
rxn05424,15.336391394124282
rxn00543,-1774.0408504114675
rxn00347,2352.00503874415
rxn01523,0.0
rxn02374,9762.646000641536
rxn05406,19.38739586193262
rxn05206,808.6226038953777
rxn05552,0.0
rxn01069,0.0
rxn05322,0.0
rxn05105,0.0
rxn02113,0.0
rxn10001,0.0
