,minimum,maximum,range,rxn_name
rxn05601,0.0,0.0,0.0,lipoic acid transport via ABC system
rxn00992,0.0,0.0,0.0,(R)-3-Hydroxybutanoate:NAD+ oxidoreductase
rxn00002,0.0,0.0,0.0,Urea-1-carboxylate amidohydrolase
rxn09988,0.0,0.0,0.0,alpha-N-arabinofuranosidase
rxn11399,0.0,0.0,0.0,L-Gulonolactone transport in via proton symport
rxn04834,0.0,0.0,0.0,"1-nitronaphthalene-5,6-oxide hydrolase"
rxn05149,0.0,0.0,0.0,Manganese-ABC transport
rxn00206,0.0,0.0,0.0,Superoxide:superoxide oxidoreductase
rxn02288,0.0,0.0,0.0,Uroporphyrinogen-III carboxy-lyase
rxn05619,0.0,0.0,0.0,molybdate transport via ABC system
rxn00060,0.0,0.0,0.0,Porphobilinogen ammonia-lyase (polymerizing)
rxn05570,0.0,0.0,0.0,gamma-butyrobetaine transport in via ABC system
rxn05498,0.0,0.0,0.0,antimonite  transporter via uniport
rxn02297,0.0,0.0,0.0,6-Carboxyhexanoyl-CoA:L-alanine C-carboxyhexanoyltransferase
rxn01639,0.0,0.0,0.0,N-Formimino-L-glutamate formiminohydrolase
rxn05760,0.0,0.0,0.0,L-Glutamate:ferredoxin oxidoreductase (transaminating)
rxn00350,0.0,0.0,0.0,glutathione hydralase (periplasmic)
EX_cpd08305_e,0.0,0.0,0.0,EX_cpd08305_e
EX_cpd11598_e,0.0,0.0,0.0,EX_cpd11598_e
rxn04132,0.0,0.0,0.0,rxn04132
rxn09944,0.0,0.0,0.0,methylmalonate-semialdehyde dehydrogenase (propanol)
rxn02791,0.0,0.0,0.0,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase
rxn05550,0.0,0.0,0.0,ecotine transport in via ABC system
rxn01489,0.0,0.0,0.0,Geranylgeranyl-diphosphate:geranylgeranyl-diphosphate
rxn05733,0.0,0.0,0.0,cysteine synthase (Thiosulfate)
rxn10339,0.0,0.0,0.0,isotetradecanoyl-cardiolipin synthase
rxn02166,0.0,0.0,0.0,4-Nitrophenyl phosphate phosphohydrolase
rxn05248,0.0,0.0,0.0,FACOAL150(anteiso)
rxn02287,0.0,0.0,0.0,S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase
rxn04750,0.0,0.0,0.0,(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase
rxn01555,0.0,0.0,0.0,"quercetin:oxygen 2,3-oxidoreductase (decyclizing)"
rxn05064,0.0,0.0,0.0,carbamate hydro-lyase
rxn03094,0.0,0.0,0.0,Glycodeoxycholate amidohydrolase
rxn05597,0.0,0.0,0.0,lanthionine transport via ABC system
EX_cpd01293_e,0.0,0.0,0.0,EX_cpd01293_e
rxn01642,0.0,0.0,0.0,4-imidazolone-5-propanoate amidohydrolase
EX_cpd00155_e,0.0,0.0,0.0,EX_cpd00155_e
rxn05249,0.0,0.0,0.0,FACOAL150(ISO)
rxn03409,0.0,0.0,0.0,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine
rxn05192,0.0,0.0,0.0,Crotono-betaine ABC transport
rxn05724,0.0,0.0,0.0,Cytidine- 2'- Monophosphate transport in via proton symport
rxn05184,0.0,0.0,0.0,Choline ABC transport
EX_cpd11593_e,0.0,0.0,0.0,EX_cpd11593_e
rxn03407,0.0,0.0,0.0,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine
rxn05714,0.0,0.0,0.0,D-Mannosamine transport in via proton symport
rxn00211,0.0,0.0,0.0,UDPglucose:NAD+ oxidoreductase
rxn02727,0.0,0.0,0.0,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase
rxn03393,0.0,0.0,0.0,Octaprenyl-hydroxybenzoate decarboxylase
rxn07099,0.0,0.0,0.0,Penicillin hydrolase
rxn02085,0.0,0.0,0.0,"4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase"
rxn05105,0.0,0.0,0.0,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase"
rxn10001,0.0,0.0,0.0,Heme C synthase
rxn01664,0.0,0.0,0.0,2-Aminoadipate 6-semialdehyde
rxn06591,0.0,0.0,0.0,L-glutamate-semialdehyde: NADP+
rxn05541,0.0,0.0,0.0,Dipeptide transport via ABC system (ala-glu)
rxn03012,0.0,0.0,0.0,rxn03012
rxn10048,0.0,0.0,0.0,Heme A synthase
EX_cpd07061_e,0.0,0.0,0.0,EX_cpd07061_e
rxn03445,0.0,0.0,0.0,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransfer
rxn01390,0.0,0.0,0.0,ATP:L-rhamnulose 1-phosphotransferase
rxn05546,0.0,0.0,0.0,Dipeptide transport via ABC system (gly-asn)
rxn09949,0.0,0.0,0.0,Spermidine acetyltransferase (spermine)
rxn00127,0.0,0.0,0.0,S-Adenosyl-L-methionine carboxy-lyase
rxn11404,0.0,0.0,0.0,Methyl beta-D-galactoside transport in via proton symport
rxn01274,0.0,0.0,0.0,S-(2-Hydroxyacyl)glutathione hydrolase
rxn05251,0.0,0.0,0.0,FACOAL170(anteiso)
rxn05580,0.0,0.0,0.0,Glycogen transport in
EX_cpd03727_e,0.0,0.0,0.0,EX_cpd03727_e
rxn00224,0.0,0.0,0.0,Protoporphyrin ferro-lyase
rxn05091,0.0,0.0,0.0,"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoredu"
rxn02304,0.0,0.0,0.0,Protoporphyrinogen-IX:oxygen oxidoreductase
rxn00748,0.0,0.0,0.0,Glycerone-phosphate phospho-lyase
rxn05736,0.0,0.0,0.0,fatty-acid--CoA ligase (tetradecanoate)
rxn01094,0.0,0.0,0.0,"2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase"
rxn09940,0.0,0.0,0.0,L-methionine R-oxide reductase (trdrd)
rxn06077,0.0,0.0,0.0,L-methionine:oxidized-thioredoxin S-oxidoreductase
rxn03043,0.0,0.0,0.0,5-Dehydro-4-deoxy-D-glucuronate ketol-isomerase
rxn05694,0.0,0.0,0.0,L-Pyroglutamic Acid transport in via proton symport
EX_cpd04097_e,0.0,0.0,0.0,EX_cpd04097_e
rxn09355,0.0,0.0,0.0,UDP-D-glucuronate pyrophosphohydrolase (periplasm)
rxn05697,0.0,0.0,0.0,D-Psicose transport in via proton symport
rxn00882,0.0,0.0,0.0,myo-Inositol 4-phosphate phosphahydrolase
rxn01684,0.0,0.0,0.0,Purine nucleoside:orthophosphate ribosyltransferase
rxn05721,0.0,0.0,0.0,Adenosine- 2'-Monophosphate transport in via proton symport
rxn05193,0.0,0.0,0.0,Butyro-betaine ABC transport
rxn07585,0.0,0.0,0.0,rxn07585
rxn04820,0.0,0.0,0.0,"(1R,2S)-naphthalene 1,2-oxide hydrolase"
rxn00376,0.0,0.0,0.0,N-Formyl-L-aspartate amidohydrolase
rxn05174,0.0,0.0,0.0,Nickel-ABC transport
