,minimum,maximum,range,rxn_name
rxn00816,0.0,0.0,0.0,Lactose galactohydrolase
rxn01259,0.0,0.0,0.0,Isomaltose 6-alpha-D-glucanohydrolase
rxn00702,0.0,0.0,0.0,CTP:D-glucose-1-phosphate cytidylyltransferase
rxn05699,0.0,0.0,0.0,Gentiobiose transport in via proton symport
rxn02339,0.0,0.0,0.0,4-Hydroxy-L-glutamate:2-oxoglutarate aminotransferase
rxn04821,0.0,0.0,0.0,"(1S,2R)-naphthalene 1,2-oxide hydrolase"
rxn02495,0.0,0.0,0.0,"beta-D-Galactosyl-1,4-beta-D-glucosylceramide"
rxn00883,0.0,0.0,0.0,1D-myo-Inositol 3-phosphate phosphahydrolase
rxn01923,0.0,0.0,0.0,"2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase"
rxn07584,0.0,0.0,0.0,ATP:lipoate adenylyltransferase
rxn03906,0.0,0.0,0.0,rxn03906
rxn05194,0.0,0.0,0.0,2-(beta-D-Glucosyl)-sn-glycerol ABC transport
rxn03483,0.0,0.0,0.0,"2',3'-Cyclic GMP 3'-nucleotidohydrolase"
rxn00321,0.0,0.0,0.0,"L-Lysine 2,3-aminomutase"
EX_cpd11587_e,0.0,0.0,0.0,EX_cpd11587_e
rxn00392,0.0,1.6985455699188794e-28,1.6985455699188794e-28,ATP:riboflavin 5'-phosphotransferase
EX_cpd00971_e,0.0,1.1747039549244345e-12,1.1747039549244345e-12,EX_cpd00971_e
rxn00915,0.0,1.5452725930167428e-12,1.5452725930167428e-12,GMP:pyrophosphate phosphoribosyltransferase
rxn01107,-1.5157680272036826e-12,1.5157680272036826e-12,3.0315360544073653e-12,"D-Glucono-1,5-lactone lactonohydrolase"
rxn10312,0.0069247580162411,0.0076941755736012,0.0007694175573601,"isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked,"
rxn10303,0.0077363259741391,0.0085959177490435,0.0008595917749043,"isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked,"
rxn10335,0.0115360809341062,0.0127458880468471,0.0012098071127408,myristoyl-cardiolipin synthase
rxn10308,0.0144745166437371,0.0159830995042964,0.0015085828605593,"myristoyl-lipoteichoic acid synthesis (n=24), linked, N-acet"
rxn10336,0.0157182989546919,0.0174309532192845,0.0017126542645925,stearoyl-cardiolipin synthase
rxn10299,0.0161722794981905,0.0179691994424339,0.0017969199442433,"myristoyl-lipoteichoic acid synthesis (n=24), linked, glucos"
rxn10309,0.0230130822084422,0.0252387046536475,0.0022256224452053,"stearoyl-lipoteichoic acid synthesis (n=24), linked, N-acety"
rxn10342,0.021618491292284,0.0240205458803156,0.0024020545880315,isohexadecanoyl-cardiolipin synthase
rxn10321,0.0220087279923461,0.0244541422137179,0.0024454142213717,"isotetradecanoyl-lipoteichoic acid synthesis (n=24), unlinke"
rxn10330,0.0257773883945393,0.0285182590196281,0.0027408706250888,isotetradecanoyl-lysylphosphatidylglycerol synthesis
rxn10300,0.0256747763538855,0.0285275292820951,0.0028527529282095,"stearoyl-lipoteichoic acid synthesis (n=24), linked, glucose"
rxn10315,0.0294061232867501,0.0326279869127127,0.0032218636259625,"isohexadecanoyl-lipoteichoic acid synthesis (n=24), linked, "
rxn10306,0.0328358530092081,0.0361893495640119,0.0033534965548037,"isohexadecanoyl-lipoteichoic acid synthesis (n=24), linked, "
rxn10337,0.0340096725651718,0.0377885250724131,0.0037788525072412,isoheptadecanoyl-cardiolipin synthase
rxn10326,0.053902415901006,0.0587363245513292,0.0048339086503231,myristoyl-lysylphosphatidylglycerol synthesis
rxn10317,0.0460199455053296,0.0511332727836995,0.0051133272783699,"myristoyl-lipoteichoic acid synthesis (n=24), unlinked, D-al"
rxn10334,0.0464630429536073,0.0516256032817859,0.0051625603281785,palmitoyl-cardiolipin synthase
rxn10310,0.0480410917606312,0.0533789908451458,0.0053378990845145,"isoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked,"
rxn10294,0.0533520422284084,0.0591168444258705,0.005764802197462,"isotetradecanoyl-lipoteichoic acid synthesis (n=24), linked,"
rxn10301,0.0536070176021542,0.0595633528912825,0.0059563352891282,"isoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked,"
rxn10298,0.0705535515889141,0.0774871123101732,0.006933560721259,"palmitoyl-lipoteichoic acid synthesis (n=24), linked, glucos"
rxn10307,0.0631841413965066,0.070204601551674,0.0070204601551674,"palmitoyl-lipoteichoic acid synthesis (n=24), linked, N-acet"
rxn10318,0.0727301706330851,0.0798381125896963,0.0071079419566111,"stearoyl-lipoteichoic acid synthesis (n=24), unlinked, D-ala"
rxn10327,0.0760028728387851,0.0844476364875389,0.0084447636487538,stearoyl-lysylphosphatidylglycerol synthesis
rxn10249,0.0778918672235478,0.0865465191372752,0.0086546519137274,isotetradecanoyl-UDP-glucosyltransferase (triglucosyl)
rxn10338,0.0799130134788494,0.0887922371987216,0.0088792237198721,anteisoheptadecanoyl-cardiolipin synthase
