node_id,name,degree,betweenness,compartment,is_anchor,direction
cpd00279_c,Acetoacetyl-CoA_C25H37N7O18P3S,7,0.1304118,Cytosol,False,
cpd00216_c,Chorismate_C10H8O6,7,0.0,Cytosol,False,
cpd00177_c,dADP_C10H13N5O9P2,7,0.0,Cytosol,False,
cpd00299_c,dUMP_C9H12N2O8P,7,0.05370387,Cytosol,False,
cpd00137_c,Citrate_C6H5O7,7,0.0,Cytosol,False,
cpd00051_c,L-Arginine_C6H15N4O2,7,0.02444318,Cytosol,False,
cpd00032_c,Oxaloacetate_C4H2O5,7,0.00749064,Cytosol,False,
cpd00135_c,L-Homocysteine_C4H9NO2S,7,0.00534759,Cytosol,False,
cpd00139_c,Glycolate_C2H3O3,7,0.64546931,Cytosol,False,
cpd11451_c,mql7_C46H66O2,7,0.01404135,Cytosol,False,
cpd00223_c,D-Glycerate_C3H5O4,7,0.09792805,Cytosol,False,
cpd00982_c,FADH2_C27H33N9O15P2,7,0.01044727,Cytosol,False,
cpd00128_c,Adenine_C5H5N5,7,0.29177169,Cytosol,False,
cpd00101_c,D-Ribose_5-phosphate_C5H10O8P,6,0.0,Cytosol,False,
cpd00009_e,Orthophosphate_HO4P,6,0.0,Extracellular,False,
cpd00309_c,Xanthine_C5H4N4O2,6,0.03144982,Cytosol,False,
cpd00130_c,(S)-Malate_C4H4O5,6,0.0,Cytosol,False,
cpd00241_c,dGTP_C10H13N5O13P3,6,1.15232556,Cytosol,False,
cpd00171_c,D-Ribulose_5-phosphate_C5H10O8P,6,0.84152775,Cytosol,False,
cpd00226_c,Hypoxanthine_C5H4N4O,6,0.47741502,Cytosol,False,
cpd00509_c,2-Deoxy-D-ribose_1-phosphate_C5H10O7P,6,0.29816017,Cytosol,False,
cpd00161_c,L-Threonine_C4H9NO3,6,0.18468713,Cytosol,False,
cpd00123_c,3-Methyl-2-oxobutanoic_acid_C5H7O3,6,0.00851064,Cytosol,False,
cpd00298_c,dTMP_C10H14N2O8P,6,0.0,Cytosol,False,
cpd00064_c,L-Ornithine_C5H13N2O2,6,0.0,Cytosol,False,
cpd00286_c,Undecaprenyl_phosphate_C55H90O4P,6,2.14000644,Cytosol,False,
cpd01695_c,Tetradecanoyl-CoA_C35H59N7O17P3S,6,0.22712083,Cytosol,False,
cpd00114_c,IMP_C10H12N4O8P,6,0.00229358,Cytosol,False,
cpd00115_c,dATP_C10H13N5O12P3,6,0.0,Cytosol,False,
cpd00120_c,Butanoyl-CoA_C25H39N7O17P3S,6,1.88265658,Cytosol,False,
cpd00357_c,dTTP_C10H14N2O14P3,6,0.0,Cytosol,False,
cpd00213_c,Lipoamide_C8H15NOS2,6,0.0,Cytosol,False,
cpd00201_c,10-Formyltetrahydrofolate_C20H21N7O7,6,0.82083651,Cytosol,False,
cpd00533_c,dCDP_C9H13N3O10P2,6,0.06770833,Cytosol,False,
cpd00288_c,D-Glucosamine_6-phosphate_C6H14NO8P,6,0.0,Cytosol,False,
cpd00449_c,Dihydrolipoamide_C8H17NOS2,6,0.0,Cytosol,False,
cpd00295_c,dGDP_C10H13N5O10P2,6,0.10675676,Cytosol,False,
cpd11606_c,Menaquinone_7_C46H64O2,6,0.01334979,Cytosol,False,
cpd00082_c,D-Fructose_C6H12O6,6,0.37470689,Cytosol,False,
cpd00086_c,Propanoyl-CoA_C24H37N7O17P3S,6,0.0,Cytosol,False,
cpd00142_c,Acetoacetate_C4H5O3,6,0.6820647,Cytosol,False,
cpd00169_c,3-Phospho-D-glycerate_C3H5O7P,6,0.0,Cytosol,False,
cpd00094_c,2-Oxobutanoate_C4H5O3,5,0.0,Cytosol,False,
cpd00978_c,dUDP_C9H12N2O11P2,5,0.10794204,Cytosol,False,
cpd00356_c,dCTP_C9H13N3O13P3,5,0.0,Cytosol,False,
cpd15727_c,Diisohexadecanoylphosphatidylglycerol_C3,5,25.24918156,Cytosol,False,
cpd15746_c,"Palmitoyllipoteichoic_acid (n=24), linke",5,11.50936467,Cytosol,False,
cpd15666_c,Peptidoglycan_polymer (n-1 subunits)_C40,5,0.33333333,Cytosol,False,
cpd15725_c,Diisopentadecanoylphosphatidylglycerol_C,5,29.52735138,Cytosol,False,
