gene_id,growth_std,essential_std,growth_natto,essential_natto,growth_ratio,gene_name,n_reactions,reactions
peg_DOT_3578,0.0,True,-1.1117198377147197e-12,True,-9.781986603917466e-16,peg.3578,3,rxn10196;rxn10194;rxn10195
peg_DOT_3579,0.0,True,-7.754447518552908e-12,True,-6.823113087843501e-15,peg.3579,10,rxn10292;rxn10293;rxn10291;rxn10192;rxn10289;rxn10296;rxn10297;rxn10294
peg_DOT_3580,0.0,True,0.0,True,0.0,peg.3580,10,rxn10193;rxn10305;rxn10306;rxn10300;rxn10304;rxn10299;rxn10303;rxn10302
peg_DOT_3581,0.0,True,0.0,True,0.0,peg.3581,1,rxn00621
peg_DOT_3582,0.0,True,0.0,True,0.0,peg.3582,1,rxn03852
peg_DOT_3583,0.0,True,-8.755179107750773e-13,True,-7.7036535502475345e-16,peg.3583,1,rxn10192
peg_DOT_3644,0.0,True,0.0,True,0.0,peg.3644,26,rxn05394;rxn05406;rxn05427;rxn05331;rxn05415;rxn05329;rxn05361;rxn05369
peg_DOT_3683,-1.1266178965318327e-12,True,0.0,True,0.0,peg.3683,1,rxn00461
peg_DOT_3714,0.0,True,0.0,True,0.0,peg.3714,1,rxn05296
peg_DOT_3740,-4.6532380535729526e-14,True,-3.303677832353834e-12,True,-2.9068953528952943e-15,peg.3740,1,rxn05296
peg_DOT_38,0.0,True,0.0,True,0.0,peg.38,1,rxn05296
peg_DOT_3854,0.0,True,-2.6187993741326517e-24,True,-2.304273030584049e-27,peg.3854,1,rxn05267
peg_DOT_3855,0.0,True,0.0,True,0.0,peg.3855,1,rxn10191
peg_DOT_3856,0.0,True,0.0,True,0.0,peg.3856,1,rxn10191
peg_DOT_3857,0.0,True,0.0,True,0.0,peg.3857,1,rxn10191
peg_DOT_3858,0.0,True,0.0,True,0.0,peg.3858,1,rxn10191
peg_DOT_4046,8.249310899300451e-12,True,0.0,True,0.0,peg.4046,1,rxn05295
peg_DOT_4047,0.0,True,0.0,True,0.0,peg.4047,1,rxn05295
peg_DOT_4050,0.0,True,0.0,True,0.0,peg.4050,1,rxn05294
peg_DOT_4056,0.0,True,0.0,True,0.0,peg.4056,1,rxn05296
peg_DOT_4095,0.0,True,0.0,True,0.0,peg.4095,1,rxn05296
peg_DOT_4096,0.0,True,0.0,True,0.0,peg.4096,1,rxn05294
peg_DOT_4097,0.0,True,0.0,True,0.0,peg.4097,1,rxn05296
peg_DOT_4111,0.0,True,0.0,True,0.0,peg.4111,1,rxn05295
peg_DOT_4112,0.0,True,0.0,True,0.0,peg.4112,1,rxn05296
peg_DOT_457,3.0745171967494263e-28,True,0.0,True,0.0,peg.457,1,rxn03164
peg_DOT_46,0.0,True,-2.618799374132651e-24,True,-2.3042730305840484e-27,peg.46,1,rxn03908
peg_DOT_462,0.0,True,0.0,True,0.0,peg.462,1,rxn06023
peg_DOT_51,4.929523956472971e-10,True,2.6559764871893377e-10,True,2.3369850511449473e-13,peg.51,1,rxn00770
peg_DOT_591,0.0,True,0.0,True,0.0,peg.591,1,rxn10198
peg_DOT_6,0.0,True,0.0,True,0.0,peg.6,1,rxn05294
peg_DOT_606,0.0,True,0.0,True,0.0,peg.606,1,rxn05294
peg_DOT_662,0.0,True,0.0,True,0.0,peg.662,1,rxn05294
peg_DOT_663,0.0,True,0.0,True,0.0,peg.663,1,rxn05294
peg_DOT_668,0.0,True,0.0,True,0.0,peg.668,1,rxn05296
peg_DOT_669,0.0,True,0.0,True,0.0,peg.669,1,rxn05296
peg_DOT_67,0.0,True,-2.213080400033339e-43,True,-1.9472822281393564e-46,peg.67,1,rxn05296
peg_DOT_670,0.0,True,0.0,True,0.0,peg.670,1,rxn05296
peg_DOT_7,-1.2343393016474262e-24,True,4.696541672809648e-25,True,4.132471704616035e-28,peg.7,1,rxn05294
peg_DOT_82,0.0,True,0.0,True,0.0,peg.82,1,rxn05296
peg_DOT_893,0.0,True,5.433406997127364e-12,True,4.780837100900064e-15,peg.893,1,rxn05295
peg_DOT_90,0.0,True,0.0,True,0.0,peg.90,1,rxn03907
peg_DOT_91,0.0,True,-2.6187993741326517e-24,True,-2.304273030584049e-27,peg.91,1,rxn03910
peg_DOT_92,0.0,True,0.0,True,0.0,peg.92,1,rxn05296
peg_DOT_94,0.0,True,0.0,True,0.0,peg.94,1,rxn05296
peg_DOT_951,0.0,True,0.0,True,0.0,peg.951,1,rxn05295
peg_DOT_954,0.0,True,0.0,True,0.0,peg.954,9,rxn10219;rxn10218;rxn10216;rxn10217;rxn10212;rxn10215;rxn10213;rxn10211
peg_DOT_99,0.0,True,0.0,True,0.0,peg.99,1,rxn05296
