reaction,baseline_flux,cfba_flux,delta_flux,abs_delta
rxn00778,10000.0,10000.0,0.0,0.0
rxn00781,10000.0,10000.0,0.0,0.0
rxn00782,0.0,0.0,0.0,0.0
rxn00784,10000.0,10000.0,0.0,0.0
rxn00785,7.935359391647353,3127.737209127274,3119.801849735627,3119.801849735627
rxn00786,0.0,0.0,0.0,0.0
rxn00787,-10000.00000000008,-10000.000000000004,7.639755494892597e-11,7.639755494892597e-11
rxn00789,0.0,92.84116685177362,92.84116685177362,92.84116685177362
rxn00790,0.0,0.0,0.0,0.0
rxn00791,0.0,61.733971231321675,61.733971231321675,61.733971231321675
rxn00799,10000.0,10000.0,0.0,0.0
rxn00800,0.0,0.8966279389563567,0.8966279389563567,0.8966279389563567
rxn00802,-9999.999999999965,-9514.894615711297,485.1053842886686,485.1053842886686
rxn00804,0.0,-1128.2352853562359,-1128.2352853562359,1128.2352853562359
rxn00806,0.0,734.5911400047637,734.5911400047637,734.5911400047637
rxn00808,313.4839018074926,289.7340001943111,-23.74990161318152,23.74990161318152
rxn00816,0.0,0.0,0.0,0.0
rxn00817,0.0,0.0,0.0,0.0
rxn00818,-9686.516098192493,0.0,9686.516098192493,9686.516098192493
rxn00827,0.0,0.0,0.0,0.0
rxn00830,0.18416576548876332,0.17021315489008457,-0.01395261059867875,0.01395261059867875
rxn00831,0.0,0.0,0.0,0.0
rxn00832,0.0,-92.84116685177364,-92.84116685177364,92.84116685177364
rxn00834,0.0,91.94453891282224,91.94453891282224,91.94453891282224
rxn00836,0.0,0.0,0.0,0.0
rxn00837,0.0,0.0,0.0,0.0
rxn00838,0.0,0.8966279389563568,0.8966279389563568,0.8966279389563568
rxn00839,0.0,0.0,0.0,0.0
rxn00851,0.0,0.0,0.0,0.0
rxn00858,0.0,0.0,0.0,0.0
rxn00863,0.0,92.84116685177365,92.84116685177365,92.84116685177365
rxn00867,0.0,0.0,0.0,0.0
rxn00868,57.167923529348904,52.8368157709501,-4.331107758398801,4.331107758398801
rxn00871,10000.0,9761.645430655766,-238.35456934423382,238.35456934423382
rxn00874,41.831532135223426,38.662327060220036,-3.16920507500339,3.16920507500339
rxn00875,-10000.0,-10000.0,0.0,0.0
rxn00877,-15.33639139412428,-14.174488710727896,1.1619026833963844,1.1619026833963844
rxn00879,0.0,0.0,0.0,0.0
rxn00881,0.0,0.0,0.0,0.0
rxn00882,0.0,0.0,0.0,0.0
rxn00883,0.0,0.0,0.0,0.0
rxn00892,-10000.000000000002,-10000.0,1.8189894035458565e-12,1.8189894035458565e-12
rxn00897,10000.000000000002,10000.000000000002,0.0,0.0
rxn00898,0.0,742.3690198070024,742.3690198070024,742.3690198070024
rxn00902,0.0,393.6441453514723,393.6441453514723,393.6441453514723
rxn00903,5589.251579071498,9651.275125544471,4062.023546472973,4062.023546472973
rxn00907,9999.999999999998,9999.999999999998,0.0,0.0
rxn00908,0.0,0.0,0.0,0.0
rxn00910,7287.340732755037,8419.30229783249,1131.961565077453,1131.961565077453
rxn00912,0.0,0.0,0.0,0.0
rxn00913,0.0,0.0,0.0,0.0
rxn00915,0.0,0.0,0.0,0.0
rxn00916,0.0,91.94453891282826,91.94453891282826,91.94453891282826
rxn00917,0.0,0.0,0.0,0.0
rxn00926,0.0,0.0,0.0,0.0
rxn00929,0.0,0.0,0.0,0.0
rxn00931,-197.58924501745562,-31.948705630131034,165.6405393873246,165.6405393873246
rxn00938,0.0,0.0,0.0,0.0
rxn00947,0.0,0.0,0.0,0.0
rxn00950,0.0,0.0,0.0,0.0
rxn00953,7287.524898520593,8419.47251098738,1131.9476124667872,1131.9476124667872
