name,kegg,cls,fc,logfc,pval,mean_natto,mean_soy,direction,model_id,model_name,compartment,ex_lb,ex_ub,pathways_s2,constraint_type
L-Arginine,C00062,Amino acid and derivatives;amino acids,3.8167,1.9323,0.002458,0.944885,0.247564,natto_up,M_cpd03535_e,L-Arginine_phosphate_C6H14N4O5P,Extracellular,0.9662,1000.0,ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Arginine and proline metabolism - Glycine max (soybean) | Arginine biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Biosynthesis of secondary metabolites - other antibiotics - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Monobactam biosynthesis - Glycine max (soybean),secretion
D-Serine,C00740,Alkaloids,3.7827,1.9194,0.001257,0.007824,0.002068,natto_up,M_cpd00550_e,D-Serine_C3H7NO3,Extracellular,0.9597,1000.0,"Glycine, serine and threonine metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Vancomycin resistance - Glycine max (soybean)",secretion
L-Serine,C00065,Amino acid and derivatives;amino acids,3.7827,1.9194,0.001257,0.007824,0.002068,natto_up,M_cpd00054_e,L-Serine_C3H7NO3,Extracellular,0.9597,1000.0,"ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Biosynthesis of secondary metabolites - other antibiotics - Glycine max (soybean) | Biosynthesis of secondary metabolites - unclassified - Glycine max (soybean) | Carbon metabolism - Glycine max (soybean) | Cyanoamino acid metabolism - Glycine max (soybean) | Cysteine and methionine metabolism - Glycine max (soybean) | Glycine, serine and threonine metabolism - Glycine max (soybean) | Glyoxylate and dicarboxylate metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Monobactam biosynthesis - Glycine max (soybean) | Sulfur metabolism - Glycine max (soybean) | Vancomycin resistance - Glycine max (soybean)",secretion
Nicotinate ribonucleoside,C05841,Nicotinic acid derivatives,3.7517,1.9075,0.012464,0.000171,4.6e-05,natto_up,M_cpd00873_c,Nicotinate_D-ribonucleotide_C11H13NO9P,Cytosol,0.9538,1000.0,,secretion
"1D-Myo-inositol 1,4-bisphosphate",C01220,Organooxygen compounds,3.3235,1.7327,0.000814,0.000653,0.000197,natto_up,M_cpd02484_c,1D-myo-Inositol_3-phosphate_C6H12O9P,Cytosol,0.8663,1000.0,Metabolic pathways - Glycine max (soybean),secretion
3-Methylindole,C08313,Alkaloids,3.2963,1.7208,0.041723,0.03405,0.01033,natto_up,M_cpd02274_e,Methyl_beta-D-galactoside_C7H14O6,Extracellular,0.8604,1000.0,"Biosynthesis of secondary metabolites - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Phenylalanine, tyrosine and tryptophan biosynthesis - Glycine max (soybean) | Tryptophan metabolism - Glycine max (soybean)",secretion
L-Asparagine,C00152,Amino acid and derivatives;amino acids,3.2808,1.7141,0.00321,0.010162,0.003097,natto_up,M_cpd00132_e,L-Asparagine_C4H8N2O3,Extracellular,0.857,1000.0,"Alanine, aspartate and glutamate metabolism - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Cyanoamino acid metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean)",secretion
Phenylacetyl-L-glutamine,C04148,Amino acid and derivatives,3.278,1.7128,0.028729,0.00027,8.2e-05,natto_up,M_cpd00053_e,L-Glutamine_C5H10N2O3,Extracellular,0.8564,1000.0,"ABC transporters - Glycine max (soybean) | Alanine, aspartate and glutamate metabolism - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Arginine biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Glyoxylate and dicarboxylate metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Nitrogen metabolism - Glycine max (soybean) | Purine metabolism - Glycine max (soybean) | Pyrimidine metabolism - Glycine max (soybean)",secretion
Methoxyindoleacetic acid,C05660,Indoles and derivatives,2.8528,1.5124,0.017886,0.006739,0.002362,natto_up,M_cpd00359_c,Indole_C8H7N,Cytosol,0.7562,1000.0,"Biosynthesis of secondary metabolites - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Phenylalanine, tyrosine and tryptophan biosynthesis - Glycine max (soybean) | Tryptophan metabolism - Glycine max (soybean)",secretion
Tryptophan;L-Tryptophan;D-Tryptophan,C00806;C00078;C00525,Alkaloids;Amino acid and derivatives;Indoles and derivatives;amino acids,2.8341,1.5029,0.041806,0.01552,0.005476,natto_up,M_cpd00065_e,L-Tryptophan_C11H12N2O2,Extracellular,0.7514,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Glucosinolate biosynthesis - Glycine max (soybean) | Glycine, serine and threonine metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Phenylalanine, tyrosine and tryptophan biosynthesis - Glycine max (soybean) | Tryptophan metabolism - Glycine max (soybean)",secretion
alpha-D-Glucose;D-Tagatose,C00267;C00795,Carbohydrates;Organooxygen compounds,0.3777,-1.4047,0.014329,0.002147,0.005683,soy_up,M_cpd00521_c,dTDP-4-dehydro-6-deoxy-alpha-D-glucose_C16H22N2O15P2,Cytosol,-1000.0,-0.7024,Amino sugar and nucleotide sugar metabolism - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Carbon metabolism - Glycine max (soybean) | Galactose metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean),uptake
Thymidine,C00214,Nucleotide and its derivates,2.6261,1.3929,0.011422,0.000142,5.4e-05,natto_up,M_cpd00184_e,Thymidine_C10H14N2O5,Extracellular,0.6965,1000.0,Metabolic pathways - Glycine max (soybean) | Pyrimidine metabolism - Glycine max (soybean),secretion
