name,kegg,cls,fc,logfc,pval,mean_natto,mean_soy,direction,model_id,model_name,compartment,ex_lb,ex_ub,pathways_s2,constraint_type
Proline;L-Proline,C00148,Amino acid and derivatives;amino acids,25.98,4.6993,0.005749,0.955155,0.036765,natto_up,M_cpd01293_e,5-Oxoproline_C5H6NO3,Extracellular,2.3497,1000.0,ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Arginine and proline metabolism - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Glutathione metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean),secretion
Glycine,C00037,Alkaloids;amino acids,25.9722,4.6989,0.012762,0.001363,5.2e-05,natto_up,M_cpd00033_e,Glycine_C2H5NO2,Extracellular,2.3494,1000.0,"ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Carbon metabolism - Glycine max (soybean) | Cyanoamino acid metabolism - Glycine max (soybean) | Glutathione metabolism - Glycine max (soybean) | Glycine, serine and threonine metabolism - Glycine max (soybean) | Glyoxylate and dicarboxylate metabolism - Glycine max (soybean) | Lysine degradation - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Phosphonate and phosphinate metabolism - Glycine max (soybean) | Porphyrin and chlorophyll metabolism - Glycine max (soybean) | Purine metabolism - Glycine max (soybean) | Vancomycin resistance - Glycine max (soybean)",secretion
Glutathione oxidized,C00127,Amino acid and derivatives,25.0163,4.6448,0.036077,0.000639,2.6e-05,natto_up,M_cpd00042_c,Glutathione_C10H16N3O6S,Cytosol,2.3224,1000.0,,secretion
L-Valine,C00183,Amino acid and derivatives;amino acids,23.5757,4.5592,0.009681,0.180053,0.007637,natto_up,M_cpd00156_e,L-Valine_C5H11NO2,Extracellular,2.2796,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Cyanoamino acid metabolism - Glycine max (soybean) | Glucosinolate biosynthesis - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Pantothenate and CoA biosynthesis - Glycine max (soybean) | Valine, leucine and isoleucine biosynthesis - Glycine max (soybean) | Valine, leucine and isoleucine degradation - Glycine max (soybean)",secretion
Adenosine 5'-monophosphate,C00020,Nucleotide and its derivates,0.0546,-4.1957,0.043894,0.015895,0.291282,soy_up,M_cpd00700_e,Adenosine_2'-phosphate_C10H13N5O7P,Extracellular,-1000.0,-2.0979,,uptake
Cytidine,C00475,Nucleotide and its derivates,17.8346,4.1566,0.030357,0.004383,0.000246,natto_up,M_cpd01991_e,Cytidine_2'-phosphate_C9H13N3O8P,Extracellular,2.0783,1000.0,ABC transporters - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Pyrimidine metabolism - Glycine max (soybean),secretion
DL-Alanine;L-Alanine,C01401;C00041,Alkaloids;Amino acid and derivatives;amino acids,17.7254,4.1477,0.045386,0.054682,0.003085,natto_up,M_cpd00035_e,L-Alanine_C3H7NO2,Extracellular,2.0739,1000.0,"ABC transporters - Glycine max (soybean) | Alanine, aspartate and glutamate metabolism - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Carbon fixation in photosynthetic organisms - Glycine max (soybean) | Carbon metabolism - Glycine max (soybean) | Cyanoamino acid metabolism - Glycine max (soybean) | Cysteine and methionine metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Taurine and hypotaurine metabolism - Glycine max (soybean) | Vancomycin resistance - Glycine max (soybean)",secretion
5'-Deoxyadenosine,C05198,Nucleotide and its derivates,17.2036,4.1046,0.037001,0.006252,0.000363,natto_up,M_cpd03091_c,5'-Deoxyadenosine_C10H13N5O3,Cytosol,2.0523,1000.0,ABC transporters - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Purine metabolism - Glycine max (soybean),secretion
(S)-2-Aceto-2-hydroxybutanoate,C06006,Keto acids and derivatives,16.6648,4.0587,0.01754,0.015206,0.000912,natto_up,M_cpd00498_c,2-Aceto-2-hydroxybutanoate_C6H9O4,Cytosol,2.0294,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Valine, leucine and isoleucine biosynthesis - Glycine max (soybean)",secretion
Glucosamine,C00329,Carbohydrates,16.386,4.0344,0.042495,0.000665,4.1e-05,natto_up,M_cpd03488_c,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine_C94H155N9O25P2,Cytosol,2.0172,1000.0,Amino sugar and nucleotide sugar metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean),secretion
Galactose 1-phosphate,C00446;C03384,Organooxygen compounds,14.9434,3.9014,0.044495,0.009979,0.000668,natto_up,M_cpd00208_e,Lactose_C12H22O11,Extracellular,1.9507,1000.0,Amino sugar and nucleotide sugar metabolism - Glycine max (soybean) | Galactose metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean),secretion
Glycerophosphocholine,C00670,Cholines,0.0748,-3.74,0.000255,3.2e-05,0.000423,soy_up,M_cpd00098_e,Choline_C5H14NO,Extracellular,-1000.0,-1.87,,uptake
